origintime,latitude,longitude,depth,magnitude
2014-01-02T11:49:04.500000Z,18.042,-71.679,48.7,2.4
2014-01-03T06:33:52.400000Z,18.206,-71.524,14,2.4
2014-01-03T07:01:41.600000Z,19.06,-67.973,12.1,2.9
2014-01-03T10:14:55.300000Z,19.072,-67.981,14.5,3.9
2014-01-05T16:56:59.000000Z,18.097,-67.167,19.1,2.6
2014-01-05T17:45:13.800000Z,19.246,-69.057,0,2.7
2014-01-07T10:21:30.200000Z,18.391,-67.114,25,2.2
2014-01-09T16:17:58.300000Z,19.267,-67.804,9.8,3.3
2014-01-10T05:22:32.300000Z,18.897,-67.672,10.1,2.0
2014-01-11T04:46:51.000000Z,18.552,-72.258,10.8,2.3
2014-01-11T08:04:34.200000Z,18.625,-67.409,6.8,3.3
2014-01-13T04:01:03.700000Z,19.097,-66.884,28.3,5.9
2014-01-17T00:27:35.500000Z,19.058,-70.029,30,2.1
2014-01-17T14:58:15.100000Z,18.656,-71.133,69.2,1.9
2014-01-17T17:23:05.400000Z,18.784,-66.505,45,3.3
2014-01-18T07:06:56.900000Z,18.366,-69.762,95.4,3.8
2014-01-19T05:56:08.200000Z,18.686,-65.82,102,3.0
2014-01-19T10:11:22.300000Z,18.799,-66.556,34.4,3.2
2014-01-19T16:56:59.200000Z,18.818,-66.619,43,3.0
2014-01-19T17:57:55.700000Z,19.009,-66.561,15.6,3.0
2014-01-19T19:54:34.600000Z,19.424,-68.759,0,2.4
2014-01-19T23:57:03.100000Z,18.178,-68.04,96.8,2.4
2014-01-20T02:51:27.700000Z,18.707,-72.328,11.2,3.5
2014-01-20T03:09:44.800000Z,19.027,-66.778,26.5,2.3
2014-01-20T04:18:14.100000Z,18.971,-66.415,42.1,2.5
2014-01-20T05:37:50.700000Z,19.17,-68.21,0,2.1
2014-01-20T06:56:02.400000Z,18.565,-72.463,0,2.8
2014-01-20T13:39:11.800000Z,19.125,-69.926,45,2.0
2014-01-21T04:08:42.900000Z,19.282,-68.989,14,2.2
2014-01-21T16:43:45.200000Z,18.822,-66.575,32.1,2.6
2014-01-21T21:09:53.800000Z,18.877,-66.606,31.7,2.4
2014-01-21T21:44:56.300000Z,18.893,-66.591,31.6,2.2
2014-01-22T00:24:45.300000Z,18.86,-70.179,87.6,2.2
2014-01-22T04:47:20.200000Z,19.058,-71.185,10.2,1.2
2014-01-22T18:21:43.700000Z,18.702,-70.319,22,2.0
2014-01-23T03:16:14.500000Z,18.311,-71.355,11.3,2.7
2014-01-25T07:50:52.200000Z,18.483,-68.94,90,3.0
2014-01-26T08:42:07.900000Z,18.632,-69.417,95.8,2.8
2014-01-26T13:30:15.800000Z,18.871,-70.628,11.1,2.0
2014-01-26T20:21:31.200000Z,17.794,-68.511,13,3.1
2014-01-27T07:23:07.100000Z,17.874,-70.33,25,3.1
2014-01-27T16:42:44.300000Z,-18.98,-63.836,700,5.6
2014-01-29T23:59:10.600000Z,19.601,-69.855,28.8,2.3
2014-01-30T08:26:22.400000Z,18.704,-67.136,63,2.5
2014-01-30T10:25:28.100000Z,19.652,-72.679,45.2,2.4
2014-01-31T05:22:08.600000Z,18.31,-69.24,113,2.7
2014-02-01T11:29:28.200000Z,18.261,-71.713,21.8,3.1
2014-02-01T18:02:59.100000Z,19.5,-72.032,117,2.9
2014-02-02T04:45:33.400000Z,18.567,-69.845,78.9,2.2
2014-02-02T13:06:34.300000Z,19.239,-66.977,33,2.8
2014-02-02T22:06:30.500000Z,18.301,-71.602,22.4,2.7
2014-02-03T01:19:19.500000Z,18.303,-71.545,21.1,2.3
2014-02-03T05:28:02.500000Z,19.051,-65.207,5,3.9
