origintime,latitude,longitude,depth,magnitude
2014-01-01T05:47:25.500000Z,15.768,-71.138,15,3.5
2014-01-01T09:27:20.500000Z,18.874,-67.616,23,2.4
2014-01-01T15:42:21.500000Z,19.893,-76.519,31.1,3.6
2014-01-02T01:26:56.100000Z,18.845,-69.379,104.7,2.6
2014-01-02T16:40:49.600000Z,15.34,-70.002,15,4.1
2014-01-03T03:37:21.300000Z,18.192,-66.919,27.5,2.6
2014-01-03T07:01:13.400000Z,16.399,-68.92,14.9,3.0
2014-01-03T10:14:38.800000Z,16.202,-68.505,62.2,4.6
2014-01-04T10:24:36.300000Z,15.499,-70.421,88.5,3.6
2014-01-04T18:49:25.100000Z,16.256,-67.51,30.7,3.1
2014-01-05T16:56:58.800000Z,18.054,-67.166,19.3,2.0
2014-01-05T17:44:31.600000Z,15.422,-69.177,111.8,1.5
2014-01-06T21:37:00.100000Z,15.906,-68.945,104.2,2.1
2014-01-07T10:20:48.600000Z,15.621,-66.028,15,3.3
2014-01-09T16:17:27.800000Z,15.755,-68.466,13.8,2.4
2014-01-11T08:04:14.500000Z,16.357,-66.954,31.4,4.4
2014-01-13T05:45:03.100000Z,16.04,-67.13,82.1,1.1
2014-01-13T06:06:30.500000Z,16.063,-67.714,15,1.2
2014-01-13T06:09:04.400000Z,15.895,-67.118,66.6,1.3
2014-01-13T06:33:34.400000Z,15.96,-67.188,86.3,1.5
2014-01-13T06:52:22.900000Z,19.283,-66.901,15.9,1.4
2014-01-13T07:07:40.000000Z,16.204,-69.405,3,2.1
2014-01-13T07:11:56.700000Z,15.914,-67.052,86,2.0
2014-01-13T07:25:27.500000Z,15.72,-67.237,57.6,1.0
2014-01-13T07:59:31.800000Z,16.031,-67.163,94.1,0.9
2014-01-13T08:11:18.000000Z,15.854,-67.155,15,1.2
2014-01-13T08:26:41.000000Z,15.947,-67.177,90,1.7
2014-01-13T08:32:31.500000Z,19.205,-66.788,19.7,0.2
